freq	dB(SP1.SP.S(1,1))
4.00000000000000000E9	-5.88433301921684659E0
4.00999999999999979E9	-5.98353481643671969E0
4.02000000000000046E9	-6.08522797745757327E0
4.02999999999999936E9	-6.18948812445091257E0
4.04000000000000004E9	-6.29639388476883077E0
4.04999999999999982E9	-6.40602706394671539E0
4.06000000000000050E9	-6.51847283289445212E0
4.07000000000000028E9	-6.63381993073198473E0
4.08000000000000007E9	-6.75216088489774435E0
4.08999999999999986E9	-6.87359225035481458E0
4.09999999999999964E9	-6.99821486994191133E0
4.11000000000000032E9	-7.12613415817030038E0
4.12000000000000011E9	-7.25746041105846551E0
4.12999999999999989E9	-7.39230914492725955E0
4.13999999999999968E9	-7.53080146746066426E0
4.15000000000000036E9	-7.67306448477487724E0
4.16000000000000014E9	-7.81923174874486016E0
4.16999999999999993E9	-7.96944374942187306E0
4.17999999999999972E9	-8.12384845805452827E0
4.18999999999999950E9	-8.28260192701498887E0
4.20000000000000018E9	-8.44586895385184100E0
4.20999999999999996E9	-8.61382381776978256E0
4.22000000000000064E9	-8.78665109809961820E0
4.22999999999999954E9	-8.96454658581356512E0
4.24000000000000021E9	-9.14771830090107940E0
4.25000000000000000E9	-9.33638763051103737E0
4.25999999999999979E9	-9.53079060525435473E0
4.27000000000000046E9	-9.73117933403830726E0
4.27999999999999936E9	-9.93782362137601538E0
4.29000000000000004E9	-1.01510127954248142E1
4.29999999999999982E9	-1.03710577802270443E1
4.31000000000000050E9	-1.05982934519809091E1
4.32000000000000028E9	-1.08330813269424309E1
4.33000000000000007E9	-1.10758126381175415E1
4.33999999999999986E9	-1.13269118697237547E1
4.34999999999999964E9	-1.15868408331019102E1
4.36000000000000032E9	-1.18561033861572351E1
4.37000000000000011E9	-1.21352509215842463E1
4.37999999999999989E9	-1.24248887785258555E1
4.38999999999999968E9	-1.27256837698750092E1
4.40000000000000036E9	-1.30383730657926700E1
4.41000000000000014E9	-1.33637747368138982E1
4.41999999999999993E9	-1.37028003421818023E1
4.42999999999999972E9	-1.40564700578503854E1
4.43999999999999950E9	-1.44259309839668037E1
4.45000000000000018E9	-1.48124794680136751E1
4.45999999999999996E9	-1.52175885482202378E1
4.47000000000000064E9	-1.56429419935211222E1
4.47999999999999954E9	-1.60904769381799673E1
4.49000000000000021E9	-1.65624378531179817E1
4.50000000000000000E9	-1.70614456743063125E1
4.50999999999999979E9	-1.75905875005143342E1
4.52000000000000046E9	-1.81535346709699819E1
4.52999999999999936E9	-1.87547007287493939E1
4.54000000000000004E9	-1.93994566145775482E1
4.54999999999999982E9	-2.00944299270833859E1
4.56000000000000050E9	-2.08479310191625578E1
4.57000000000000028E9	-2.16705764542476853E1
4.58000000000000007E9	-2.25762308019502322E1
4.58999999999999986E9	-2.35834841978329912E1
4.59999999999999964E9	-2.47180788054112588E1
4.61000000000000032E9	-2.60171243972236921E1
4.62000000000000011E9	-2.75369634403393793E1
4.62999999999999989E9	-2.93692835403214803E1
4.63999999999999968E9	-3.16786658877945992E1
4.65000000000000036E9	-3.48085611398074501E1
4.66000000000000014E9	-3.96953686174855580E1
4.66999999999999993E9	-5.13292350147935572E1
4.67999999999999972E9	-4.54987788403427285E1
4.68999999999999950E9	-3.77725440408067126E1
4.70000000000000018E9	-3.37579385205831750E1
4.70999999999999996E9	-3.10408394429028522E1
4.72000000000000064E9	-2.89903421545005546E1
4.72999999999999954E9	-2.73468429900329779E1
4.74000000000000021E9	-2.59780827560913741E1
4.75000000000000000E9	-2.48074762099028279E1
4.75999999999999979E9	-2.37866840370446786E1
4.77000000000000046E9	-2.28832347138352654E1
4.77999999999999936E9	-2.20742613153841027E1
4.79000000000000004E9	-2.13430525427757534E1
4.79999999999999982E9	-2.06770250971310654E1
4.81000000000000050E9	-2.00664677987823881E1
4.82000000000000028E9	-1.95037298076613341E1
4.83000000000000007E9	-1.89826769046485855E1
4.83999999999999986E9	-1.84983161801827589E1
4.84999999999999964E9	-1.80465301859852967E1
4.86000000000000032E9	-1.76238843538633061E1
4.87000000000000011E9	-1.72274847230550732E1
4.87999999999999989E9	-1.68548709962646792E1
4.88999999999999968E9	-1.65039349038245509E1
4.90000000000000036E9	-1.61728570229153590E1
4.91000000000000014E9	-1.58600572713726096E1
4.91999999999999993E9	-1.55641556815274340E1
