"Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
180,180,4,7.81943264426714
180,180,4.0125,7.72733082960706
180,180,4.025,7.6548585044677
180,180,4.0375,7.60236793486385
180,180,4.05,7.57006341492366
180,180,4.0625,7.55799016383857
180,180,4.075,7.5660257175346
180,180,4.0875,7.5938805401062
180,180,4.1,7.64110248859318
180,180,4.1125,7.70708811689866
180,180,4.125,7.79109909736046
180,180,4.1375,7.8922804605283
180,180,4.15,8.00968267821832
180,180,4.1625,8.14228170138806
180,180,4.175,8.28900003204166
180,180,4.1875,8.44872445135011
180,180,4.2,8.62032046655863
180,180,4.2125,8.80264698894184
180,180,4.225,8.99456419856793
180,180,4.2375,9.19493970840787
180,180,4.25,9.40265484068117
180,180,4.2625,9.61660381533902
180,180,4.275,9.83569519568429
180,180,4.2875,10.0588495856915
180,180,4.3,10.2849977140066
180,180,4.3125,10.513076646715
180,180,4.325,10.7420265852979
180,180,4.3375,10.9707863785708
180,180,4.35,11.1982906834953
180,180,4.3625,11.4234674794988
180,180,4.375,11.6452332673901
180,180,4.3875,11.8624950632068
180,180,4.4,12.0741459253123
180,180,4.4125,12.2790678706153
180,180,4.425,12.4761350413288
180,180,4.4375,12.6642138071125
180,180,4.45,12.8421696606383
180,180,4.4625,13.0088759236454
180,180,4.475,13.1632185852532
180,180,4.4875,13.3041089759893
180,180,4.5,13.4304923076608
180,180,4.5125,13.5413642975503
180,180,4.525,13.6357812402047
180,180,4.5375,13.7128749917539
180,180,4.55,13.7718667679595
180,180,4.5625,13.812082604761
180,180,4.575,13.8329598341872
180,180,4.5875,13.8340672639252
180,180,4.6,13.8151044930214
180,180,4.6125,13.7759138964763
180,180,4.625,13.7164816993664
180,180,4.6375,13.6369403476818
180,180,4.65,13.5375632715968
180,180,4.6625,13.4187580052682
180,180,4.675,13.2810648769191
180,180,4.6875,13.125138102646
180,180,4.7,12.9517359678076
180,180,4.7125,12.7617073037918
180,180,4.725,12.5559774416221
180,180,4.7375,12.3355292819487
180,180,4.75,12.101391413323
180,180,4.7625,11.8546213016532
180,180,4.775,11.5962929514041
180,180,4.7875,11.3274831954516
180,180,4.8,11.0492612435233
180,180,4.8125,10.7626793721036
180,180,4.825,10.4687631260591
180,180,4.8375,10.1685068032555
180,180,4.85,9.8628653991202
180,180,4.8625,9.55275341150064
180,180,4.875,9.23904131136058
180,180,4.8875,8.92255257580053
180,180,4.9,8.60406456071416
180,180,4.9125,8.28430813096546
180,180,4.925,7.96396696703418
180,180,4.9375,7.64368077942856
180,180,4.95,7.3240460340441
180,180,4.9625,7.00561644846423
180,180,4.975,6.68890737777945
180,180,4.9875,6.37439714518896
180,180,5,6.06252829489959
180,180,5.0125,5.75371046036754
180,180,5.025,5.44832396682359
180,180,5.0375,5.14671994519404
180,180,5.05,4.84922518456168
180,180,5.0625,4.55613994231347
180,180,5.075,4.26774552157068
180,180,5.0875,3.98430083786872
180,180,5.1,3.706047848967
180,180,5.1125,3.43321197771198
180,180,5.125,3.16600355608473
180,180,5.1375,2.90461933259472
180,180,5.15,2.64924386962436
180,180,5.1625,2.40005293204432
180,180,5.175,2.15721331384607
