"cutx2 [mm]","cuty1 [mm]","Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0.6,0.4,180,180,4,9.05221673273855
0.6,0.4,180,180,4.0125,8.91940998703516
0.6,0.4,180,180,4.025,8.80247909122174
0.6,0.4,180,180,4.0375,8.7019112026184
0.6,0.4,180,180,4.05,8.61813015188846
0.6,0.4,180,180,4.0625,8.55148260680442
0.6,0.4,180,180,4.075,8.50222639593854
0.6,0.4,180,180,4.0875,8.47052027422228
0.6,0.4,180,180,4.1,8.45641635462571
0.6,0.4,180,180,4.1125,8.45985446431041
0.6,0.4,180,180,4.125,8.48066119300969
0.6,0.4,180,180,4.1375,8.51855313531182
0.6,0.4,180,180,4.15,8.57313843652965
0.6,0.4,180,180,4.1625,8.64392789528333
0.6,0.4,180,180,4.175,8.73034303048816
0.6,0.4,180,180,4.1875,8.8317282536056
0.6,0.4,180,180,4.2,8.94736197047492
0.6,0.4,180,180,4.2125,9.07646920628795
0.6,0.4,180,180,4.225,9.2182340320105
0.6,0.4,180,180,4.2375,9.37180879902013
0.6,0.4,180,180,4.25,9.53632455481472
0.6,0.4,180,180,4.2625,9.71089882797039
0.6,0.4,180,180,4.275,9.8946403691043
0.6,0.4,180,180,4.2875,10.0866561275097
0.6,0.4,180,180,4.3,10.2860518159312
0.6,0.4,180,180,4.3125,10.4919356111626
0.6,0.4,180,180,4.325,10.70341756175
0.6,0.4,180,180,4.3375,10.9196091390201
0.6,0.4,180,180,4.35,11.1396223080798
0.6,0.4,180,180,4.3625,11.3625670828477
0.6,0.4,180,180,4.375,11.5875498968922
0.6,0.4,180,180,4.3875,11.8136705642159
0.6,0.4,180,180,4.4,12.0400197667237
0.6,0.4,180,180,4.4125,12.2656769597048
0.6,0.4,180,180,4.425,12.4897071625172
0.6,0.4,180,180,4.4375,12.7111609260932
0.6,0.4,180,180,4.45,12.929071948249
0.6,0.4,180,180,4.4625,13.142457102625
0.6,0.4,180,180,4.475,13.3503167622253
0.6,0.4,180,180,4.4875,13.5516387233722
0.6,0.4,180,180,4.5,13.7453961887347
0.6,0.4,180,180,4.5125,13.9305570067075
0.6,0.4,180,180,4.525,14.1060869339917
0.6,0.4,180,180,4.5375,14.2709557827934
0.6,0.4,180,180,4.55,14.4241468760302
0.6,0.4,180,180,4.5625,14.564665675196
0.6,0.4,180,180,4.575,14.6915526141523
0.6,0.4,180,180,4.5875,14.8038905761305
0.6,0.4,180,180,4.6,14.9008215098913
0.6,0.4,180,180,4.6125,14.9815557570856
0.6,0.4,180,180,4.625,15.0453872194095
0.6,0.4,180,180,4.6375,15.0917032654138
0.6,0.4,180,180,4.65,15.1199957412241
0.6,0.4,180,180,4.6625,15.1298723405061
0.6,0.4,180,180,4.675,15.1210623344521
0.6,0.4,180,180,4.6875,15.0934224375137
0.6,0.4,180,180,4.7,15.046940489857
0.6,0.4,180,180,4.7125,14.98173508625
0.6,0.4,180,180,4.725,14.8980537963567
0.6,0.4,180,180,4.7375,14.796266470993
0.6,0.4,180,180,4.75,14.6768612614769
0.6,0.4,180,180,4.7625,14.5404312597927
0.6,0.4,180,180,4.775,14.3876664171724
0.6,0.4,180,180,4.7875,14.2193402723784
0.6,0.4,180,180,4.8,14.0362958962054
0.6,0.4,180,180,4.8125,13.8394327738599
0.6,0.4,180,180,4.825,13.6296953844627
0.6,0.4,180,180,4.8375,13.4080556866197
0.6,0.4,180,180,4.85,13.1755066604137
0.6,0.4,180,180,4.8625,12.9330457980319
0.6,0.4,180,180,4.875,12.6816683777263
0.6,0.4,180,180,4.8875,12.4223574249514
0.6,0.4,180,180,4.9,12.1560772314868
0.6,0.4,180,180,4.9125,11.883766192323
0.6,0.4,180,180,4.925,11.6063323678076
0.6,0.4,180,180,4.9375,11.3246520713942
0.6,0.4,180,180,4.95,11.0395642242708
0.6,0.4,180,180,4.9625,10.7518712763741
0.6,0.4,180,180,4.975,10.462339639456
0.6,0.4,180,180,4.9875,10.1716966977847
0.6,0.4,180,180,5,9.88063722649451
0.6,0.4,180,180,5.0125,9.58982094627481
0.6,0.4,180,180,5.025,9.29987584861749
0.6,0.4,180,180,5.0375,9.01140262732353
0.6,0.4,180,180,5.05,8.72497648342227
0.6,0.4,180,180,5.0625,8.44115101430245
0.6,0.4,180,180,5.075,8.16046201606083
0.6,0.4,180,180,5.0875,7.8834317720684
0.6,0.4,180,180,5.1,7.61057364877989
0.6,0.4,180,180,5.1125,7.34239600279911
0.6,0.4,180,180,5.125,7.07940740569405
0.6,0.4,180,180,5.1375,6.82212127823191
0.6,0.4,180,180,5.15,6.5710617001361
0.6,0.4,180,180,5.1625,6.32676499154483
0.6,0.4,180,180,5.175,6.08979043372372
0.6,0.4,180,180,5.1875,5.86071902036371
0.6,0.4,180,180,5.2,5.6401606359413
0.6,0.4,180,180,5.2125,5.42875544589488
0.6,0.4,180,180,5.225,5.22717585270748
0.6,0.4,180,180,5.2375,5.03612752055862
0.6,0.4,180,180,5.25,4.85634364192128
0.6,0.4,180,180,5.2625,4.68858186433897
0.6,0.4,180,180,5.275,4.5336089931084
0.6,0.4,180,180,5.2875,4.39219175096067
0.6,0.4,180,180,5.3,4.26507066204818
0.6,0.4,180,180,5.3125,4.15293934092328
0.6,0.4,180,180,5.325,4.05641086287163
0.6,0.4,180,180,5.3375,3.97598775491927
0.6,0.4,180,180,5.35,3.91203267633488
0.6,0.4,180,180,5.3625,3.86473845493868
0.6,0.4,180,180,5.375,3.83410788957045
0.6,0.4,180,180,5.3875,3.81994517424498
