"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
5.3,0,0,6.01722341830559,-2.01663205335137
5.3,0,10,5.94350357973802,-1.3909433463938
5.3,0,20,5.47567519186605,-1.17832474984079
5.3,0,30,4.64625226493109,-1.3414489622684
5.3,0,40,3.50622424114917,-1.82552399450886
5.3,0,50,2.11869298390508,-2.5639435932851
5.3,0,60,0.550913820081012,-3.48255383029242
5.3,0,70,-1.13542835725136,-4.49959930615194
5.3,0,80,-2.89596384522342,-5.52121630683647
5.3,0,90,-4.71734761635736,-6.44209604787912
5.3,0,100,-6.63216689294048,-7.16973365246964
5.3,0,110,-8.73454597167055,-7.674800276025
5.3,0,120,-11.200107713264,-8.02563746282459
5.3,0,130,-14.326869118574,-8.36235707984396
5.3,0,140,-18.6550281113898,-8.83265973428711
5.3,0,150,-25.4391675821458,-9.53815664722596
5.3,0,160,-40.46706068625,-10.5020174378898
5.3,0,170,-39.5685067053994,-11.6517256719106
5.3,0,180,-53.7183476537043,-12.8421259665422
5.3,0,190,-28.0560862026842,-13.9626072423096
5.3,0,200,-20.0088181870904,-15.0636709585805
5.3,0,210,-15.3007999916769,-16.3424599212721
5.3,0,220,-12.1937540059476,-18.0185196455592
5.3,0,230,-10.0249929976456,-20.220290327356
5.3,0,240,-8.42185985511758,-22.6580969469227
5.3,0,250,-7.12713550357452,-23.5992783653882
5.3,0,260,-5.94851939445285,-21.6861164104497
5.3,0,270,-4.74782811130854,-18.925807962516
5.3,0,280,-3.44275732543649,-16.473215427658
5.3,0,290,-2.00819005648531,-14.3622040484376
5.3,0,300,-0.472269919524871,-12.3955350789914
5.3,0,310,1.09366500716884,-10.3994347032115
5.3,0,320,2.59140548042864,-8.33875027328917
5.3,0,330,3.91571073200332,-6.32697005354877
5.3,0,340,4.9719685767826,-4.52813024853749
5.3,0,350,5.68760684431738,-3.06891424522032
5.3,0,360,6.01722341830559,-2.01663205335137
5.3,90,0,6.01722341830559,-2.01663205335137
5.3,90,10,5.66726339944799,-3.1013016089333
5.3,90,20,4.91759221635176,-4.76892987496015
5.3,90,30,3.7903137954638,-7.06223535206298
5.3,90,40,2.32225626016245,-10.047216452525
5.3,90,50,0.559341491870295,-13.8626309268145
5.3,90,60,-1.45245274706204,-18.8499046175973
5.3,90,70,-3.67941991728874,-25.6794237117742
5.3,90,80,-6.11320030840704,-28.5806931351057
5.3,90,90,-8.77810650932619,-23.3819618259568
5.3,90,100,-11.7156952447874,-19.6815722591108
5.3,90,110,-14.8889894160376,-17.0865944781142
5.3,90,120,-17.8673104474948,-15.1573347449428
5.3,90,130,-19.6229790740312,-13.7476311046765
5.3,90,140,-20.0353506510082,-12.8090699024826
5.3,90,150,-20.4519769876458,-12.3151475091165
5.3,90,160,-22.0582238899694,-12.2256499140959
5.3,90,170,-26.4503858878118,-12.4552872282924
5.3,90,180,-53.7183476537038,-12.8421259665422
5.3,90,190,-24.6910585306437,-13.1583060362749
5.3,90,200,-17.9688005698983,-13.2231626548349
5.3,90,210,-14.0583532891318,-13.0255306728404
5.3,90,220,-11.3999774150507,-12.6658191093505
5.3,90,230,-9.4517182500296,-12.2101262196152
5.3,90,240,-7.90784567394319,-11.6453862062471
5.3,90,250,-6.55002499326417,-10.9212573600723
5.3,90,260,-5.22011765125755,-9.9995963298842
5.3,90,270,-3.82421614534356,-8.87969108420764
5.3,90,280,-2.33407498737015,-7.60162697101448
5.3,90,290,-0.775525204466888,-6.23791409474549
5.3,90,300,0.79012313147381,-4.88064372471881
5.3,90,310,2.28346189442721,-3.62874965948365
5.3,90,320,3.6203811479167,-2.5785392493777
5.3,90,330,4.72176427297565,-1.81857666494046
5.3,90,340,5.52002927332828,-1.42774773221295
5.3,90,350,5.96318792818064,-1.47454904605392
5.3,90,360,6.01722341830559,-2.01663205335137
