"Freq [GHz]","dB(S(1,1)) []"
4,-1.40851512246142
4.0125,-1.43645373406926
4.025,-1.46496656961558
4.0375,-1.49406237744214
4.05,-1.52374960042277
4.0625,-1.55403631509951
4.075,-1.58493016475832
4.0875,-1.61643828602395
4.1,-1.64856722853356
4.1125,-1.68132286725717
4.125,-1.71471030703638
4.1375,-1.74873377889574
4.15,-1.7833965277302
4.1625,-1.81870069097365
4.175,-1.85464716789707
4.1875,-1.89123547924094
4.2,-1.92846361693427
4.2125,-1.96632788375431
4.225,-2.00482272286738
4.2375,-2.04394053732958
4.25,-2.08367149975924
4.2625,-2.12400335258848
4.275,-2.16492119950269
4.2875,-2.20640728891089
4.3,-2.24844079058485
4.3125,-2.29099756689633
4.325,-2.33404994046433
4.3375,-2.37756646037679
4.35,-2.42151166962837
4.3625,-2.46584587681088
4.375,-2.51052493566959
4.3875,-2.55550003657775
4.4,-2.60071751455768
4.4125,-2.64611867898747
4.425,-2.69163967066638
4.4375,-2.737211352377
4.45,-2.78275923952385
4.4625,-2.82820347776322
4.475,-2.87345887478163
4.4875,-2.91843499346232
4.5,-2.96303631357345
4.5125,-3.00716246882152
4.525,-3.05070856554347
4.5375,-3.09356558846555
4.55,-3.13562089781458
4.5625,-3.17675882059568
4.575,-3.21686133704796
4.5875,-3.25580886116316
4.6,-3.29348111175482
4.6125,-3.3297580678834
4.625,-3.36452099963717
4.6375,-3.39765356230995
4.65,-3.42904293913706
4.6625,-3.45858101498291
4.675,-3.48616556089782
4.6875,-3.51170140739721
4.7,-3.5351015828632
4.7125,-3.55628839260757
4.725,-3.57519441415859
4.7375,-3.59176338515027
4.75,-3.60595096190103
4.7625,-3.61772532933601
4.775,-3.6270676462758
4.7875,-3.63397231416003
4.8,-3.63844706179467
4.8125,-3.64051284363581
4.825,-3.64020355408897
4.8375,-3.63756556522431
4.85,-3.63265709985614
4.8625,-3.62554745602143
4.875,-3.61631610229162
4.8875,-3.60505166593977
4.9,-3.59185083774639
4.9125,-3.57681721809471
4.925,-3.56006012899841
4.9375,-3.54169341590464
4.95,-3.52183426167088
4.9625,-3.50060203297937
4.975,-3.47811717703679
4.9875,-3.45450018356049
5,-3.42987062414674
5.0125,-3.40434627811614
5.025,-3.3780423510918
5.0375,-3.35107078981461
5.05,-3.3235396942727
5.0625,-3.29555282604936
5.075,-3.26720920994996
5.0875,-3.23860282446982
5.1,-3.20982237548695
5.1125,-3.18095114670927
5.125,-3.15206691982467
5.1375,-3.12324195699021
5.15,-3.09454303820144
5.1625,-3.06603154618683
5.175,-3.03776359168064
5.1875,-3.0097901723284
5.2,-2.98215735889061
5.2125,-2.95490650291967
5.225,-2.92807446063064
5.2375,-2.90169382822767
5.25,-2.87579318449473
5.2625,-2.85039733700735
5.275,-2.82552756881343
5.2875,-2.80120188293112
5.3,-2.77743524243516
5.3125,-2.75423980432098
5.325,-2.73162514570077
5.3375,-2.7095984812006
5.35,-2.68816487072196
5.3625,-2.6673274169843
5.375,-2.64708745246895
5.3875,-2.62744471557664
5.4,-2.60839751596544
5.4125,-2.58994288915766
5.425,-2.57207674060876
5.4375,-2.55479397952631
5.45,-2.53808864277095
5.4625,-2.52195400924415
5.475,-2.50638270518332
5.4875,-2.49136680081983
5.5,-2.47689789887255
5.5125,-2.46296721533911
5.525,-2.44956565307269
5.5375,-2.43668386859328
5.55,-2.42431233261394
5.5625,-2.41244138469795
5.575,-2.40106128250001
5.5875,-2.3901622459824
5.6,-2.37973449700408
5.6125,-2.36976829465121
5.625,-2.36025396665846
5.6375,-2.35118193724857
5.65,-2.34254275169673
5.6625,-2.33432709791668
5.675,-2.32652582532231
5.6875,-2.31912996122895
5.7,-2.31213072502176
5.7125,-2.30551954029683
5.725,-2.29928804519213
5.7375,-2.29342810107252
5.75,-2.28793179975061
5.7625,-2.28279146939313
5.775,-2.27799967925492
5.7875,-2.273549243375
5.8,-2.26943322335011
5.8125,-2.26564493029736
5.825,-2.26217792610729
5.8375,-2.25902602407496
5.85,-2.25618328899778
5.8625,-2.25364403681038
5.875,-2.25140283382714
5.8875,-2.24945449566416
5.9,-2.24779408587942
5.9125,-2.24641691439937
5.925,-2.24531853577971
5.9375,-2.24449474732523
5.95,-2.24394158713257
5.9625,-2.24365533206813
5.975,-2.24363249573677
5.9875,-2.24386982644621
