"cutx2 [mm]","cuty1 [mm]","Freq [GHz]","dB(S(1,1)) []"
0.6,0.4,4,-4.72878283998796
0.6,0.4,4.0125,-4.7874301125711
0.6,0.4,4.025,-4.84713037954114
0.6,0.4,4.0375,-4.908140905339
0.6,0.4,4.05,-4.97073244834321
0.6,0.4,4.0625,-5.03518870640293
0.6,0.4,4.075,-5.10180581390373
0.6,0.4,4.0875,-5.17089190211179
0.6,0.4,4.1,-5.24276673254091
0.6,0.4,4.1125,-5.31776141103076
0.6,0.4,4.125,-5.39621818850154
0.6,0.4,4.1375,-5.47849035289923
0.6,0.4,4.15,-5.56494221572714
0.6,0.4,4.1625,-5.65594919588397
0.6,0.4,4.175,-5.75189800344107
0.6,0.4,4.1875,-5.85318692623735
0.6,0.4,4.2,-5.96022622325387
0.6,0.4,4.2125,-6.07343863022526
0.6,0.4,4.225,-6.19325998531863
0.6,0.4,4.2375,-6.32013998565751
0.6,0.4,4.25,-6.45454308942268
0.6,0.4,4.2625,-6.5969495829559
0.6,0.4,4.275,-6.74785683815705
0.6,0.4,4.2875,-6.90778079241603
0.6,0.4,4.3,-7.07725769167623
0.6,0.4,4.3125,-7.25684614715525
0.6,0.4,4.325,-7.44712956817565
0.6,0.4,4.3375,-7.64871904769601
0.6,0.4,4.35,-7.86225679439917
0.6,0.4,4.3625,-8.08842022584063
0.6,0.4,4.375,-8.32792686280256
0.6,0.4,4.3875,-8.58154019632485
0.6,0.4,4.4,-8.85007673849493
0.6,0.4,4.4125,-9.13441451772701
0.6,0.4,4.425,-9.4355033431796
0.6,0.4,4.4375,-9.75437724539549
0.6,0.4,4.45,-10.092169608259
0.6,0.4,4.4625,-10.4501316503988
0.6,0.4,4.475,-10.8296551054645
0.6,0.4,4.4875,-11.2323002099038
0.6,0.4,4.5,-11.6598304616291
0.6,0.4,4.5125,-12.1142561048043
0.6,0.4,4.525,-12.5978889857199
0.6,0.4,4.5375,-13.1134124051637
0.6,0.4,4.55,-13.6639710045912
0.6,0.4,4.5625,-14.2532877852544
0.6,0.4,4.575,-14.8858184140746
0.6,0.4,4.5875,-15.5669575570603
0.6,0.4,4.6,-16.3033189585249
0.6,0.4,4.6125,-17.1031216925549
0.6,0.4,4.625,-17.9767314635643
0.6,0.4,4.6375,-18.9374306499339
0.6,0.4,4.65,-20.0025257227241
0.6,0.4,4.6625,-21.1949386618857
0.6,0.4,4.675,-22.5454181919573
0.6,0.4,4.6875,-24.0951903845618
0.6,0.4,4.7,-25.8970447000866
0.6,0.4,4.7125,-28.0038037026638
0.6,0.4,4.725,-30.3906004790292
0.6,0.4,4.7375,-32.6149708711817
0.6,0.4,4.75,-33.3004631362818
0.6,0.4,4.7625,-31.8268680750936
0.6,0.4,4.775,-29.5999026728296
0.6,0.4,4.7875,-27.5224803677033
0.6,0.4,4.8,-25.7576558591344
0.6,0.4,4.8125,-24.2724676451362
0.6,0.4,4.825,-23.01052779409
0.6,0.4,4.8375,-21.9243807519323
0.6,0.4,4.85,-20.9781071738555
0.6,0.4,4.8625,-20.1449491144745
0.6,0.4,4.875,-19.4048058705093
0.6,0.4,4.8875,-18.7423424037352
0.6,0.4,4.9,-18.1456597316747
0.6,0.4,4.9125,-17.6053724242744
0.6,0.4,4.925,-17.113964469174
0.6,0.4,4.9375,-16.665333444968
0.6,0.4,4.95,-16.2544628475605
0.6,0.4,4.9625,-15.8771827309934
0.6,0.4,4.975,-15.5299921235083
0.6,0.4,4.9875,-15.2099253286021
0.6,0.4,5,-14.9144498787313
