"Phi [deg]","Theta [deg]","Freq [GHz]","dB(GainTotal) []"
0,0,4,4.62829175335377
0,0,4.0125,4.66724840767089
0,0,4.025,4.70611832273055
0,0,4.0375,4.74489296294289
0,0,4.05,4.78356213693924
0,0,4.0625,4.82211419885503
0,0,4.075,4.86053597478507
0,0,4.0875,4.89881285607534
0,0,4.1,4.93692894565002
0,0,4.1125,4.97486699612122
0,0,4.125,5.0126088374217
0,0,4.1375,5.05013527292022
0,0,4.15,5.08742627806866
0,0,4.1625,5.12446142184272
0,0,4.175,5.16121971795519
0,0,4.1875,5.19768007460878
0,0,4.2,5.23382143676472
0,0,4.2125,5.26962302884217
0,0,4.225,5.30506449415181
0,0,4.2375,5.34012616358418
0,0,4.25,5.37478920671351
0,0,4.2625,5.40903588369601
0,0,4.275,5.44284961511697
0,0,4.2875,5.47621514069617
0,0,4.3,5.50911863649123
0,0,4.3125,5.54154789680579
0,0,4.325,5.57349221054618
0,0,4.3375,5.60494256230959
0,0,4.35,5.63589154606191
0,0,4.3625,5.66633338879131
0,0,4.375,5.69626395441335
0,0,4.3875,5.7256806287658
0,0,4.4,5.75458225505535
0,0,4.4125,5.78296908400581
0,0,4.425,5.81084260085597
0,0,4.4375,5.83820549797
0,0,4.45,5.86506149635096
0,0,4.4625,5.89141528009099
0,0,4.475,5.91727227165555
0,0,4.4875,5.94263856115442
0,0,4.5,5.96752086405284
0,0,4.5125,5.99192625345972
0,0,4.525,6.01586211433821
0,0,4.5375,6.03933607090666
0,0,4.55,6.06235578325577
0,0,4.5625,6.0849288661334
0,0,4.575,6.10706301166173
0,0,4.5875,6.12876555179244
0,0,4.6,6.15004363200499
0,0,4.6125,6.17090411776679
0,0,4.625,6.19135346892309
0,0,4.6375,6.21139768866704
0,0,4.65,6.23104241234895
0,0,4.6625,6.25029261304486
0,0,4.675,6.26915286809477
0,0,4.6875,6.28762713742518
0,0,4.7,6.30571879519524
0,0,4.7125,6.32343063207729
0,0,4.725,6.34076482091277
0,0,4.7375,6.3577228988917
0,0,4.75,6.3743058462142
0,0,4.7625,6.39051399328567
0,0,4.775,6.40634703330241
0,0,4.7875,6.42180406305268
0,0,4.8,6.43688361527478
0,0,4.8125,6.45158357277965
0,0,4.825,6.46590128288789
0,0,4.8375,6.47983348799427
0,0,4.85,6.4933763628242
0,0,4.8625,6.50652561740625
0,0,4.875,6.51927630714927
0,0,4.8875,6.53162309789505
0,0,4.9,6.54356010300497
